,silhouette_score
100009600,-0.7578088656377531
100009609,-0.8153158524111447
100009614,-0.4173723111983484
100012,-0.844808382867818
100017,-0.8482105337138927
100019,-0.6404531047649467
100033459,-0.9103857649091136
100034251,-0.7465324669941952
100034361,-0.5741257046593318
100034363,-0.8286412435223419
100034684,-0.9058451202244912
100034729,-0.8292264287847703
100036518,-0.1851919342551316
100036521,-0.625023352416411
100037258,-0.5726440413244174
100037278,-0.892305818048189
100037282,-0.5080250233590062
100037283,-0.6062154797488319
100038347,-0.7732650063919762
100038417,-0.9082335010716271
100038489,-0.4091138330631341
100038538,-0.7745233371548637
100038570,-0.9092629321307903
100038657,-0.8796302186314665
100038725,-0.6319580804731442
100038847,-0.8487526717202741
100038854,-0.8499841047509641
100038859,-0.6790500857280817
100038860,-0.7353620404804323
100038862,-0.7677818595973598
100038882,-0.8802115552213314
100038914,-0.8351387876678122
100038927,-0.5795892509077069
100038941,
100038947,-0.8401225099045065
100038948,-0.904190799123671
100038949,-0.8818706668018466
100038977,-0.8409273137387554
100038993,
100039008,-0.8622229776885498
100039028,-0.8903203638687954
100039030,-0.8013018717791346
100039042,-0.8422233462611607
100039043,-0.8914100642530194
100039045,-0.8578046234252927
100039052,-0.8367283383716121
100039054,-0.8857117430649128
100039060,-0.6617478595585029
100039065,-0.8717430599221763
100039087,-0.9229023835682302
100039089,-0.877128625996134
100039116,-0.918559858727277
100039120,-0.7485136398525076
100039123,-0.6864819391352944
100039139,-0.7775273402799489
100039150,-0.8681769403471384
100039177,-0.7789947160422349
100039192,-0.6391511899084868
100039206,-0.8652478647860166
100039213,-0.855977603453602
100039227,-0.933177216686419
100039240,-0.779318728940322
100039246,-0.8699664481270991
100039257,-0.6396743225712758
100039280,-0.8375416726511709
100039293,-0.9212115478938516
100039315,-0.7833228405722927
100039319,-0.8886313305529587
100039324,-0.7713115018924982
100039377,-0.7640581884754127
100039467,-0.7745645389570102
100039550,-0.7332366097111112
100039551,-0.1624823846299257
100039574,
100039585,-0.7474013663213335
100039596,-0.934619171088266
100039614,-0.4194364051473871
100039672,-0.9198332046581044
100039707,-0.701978168647688
100039753,-0.3037363429241923
100039781,-0.8036345111459892
100039795,-0.8044172724107151
100039796,-0.8872342469224007
100039801,-0.9084175542716636
100039810,-0.3969899578185684
100039863,-0.7161371708510986
100039890,-0.840104115084426
100039913,-0.7948804757418482
100039934,-0.8352784791076816
100039939,
100039948,-0.8172747953909845
100039953,-0.8415237816561932
100039968,-0.9081864142855364
100040016,-0.8893378971977481
100040022,
100040031,
100040048,-0.7213068707861459
100040160,-0.9291333050911764
100040201,
100040208,-0.7267654850192917
100040214,-0.2520599311814148
100040223,-0.524547523083678
100040233,-0.8757416435733988
100040248,-0.7942499211952284
100040268,-0.6321941411381344
100040276,0.0391472317004541
100040462,-0.8476182099507062
100040482,-0.6510488051215222
100040531,-0.5463880773817448
100040533,-0.5932784557564044
100040563,-0.585811831759138
100040591,-0.91079309927926
100040599,-0.8177215039662639
100040606,-0.5104181097068565
100040608,-0.9139237859598272
100040635,-0.8907662901076769
100040671,-0.8141394200964498
100040698,-0.6962872222652955
100040722,-0.5216226706511135
100040732,-0.6882604939764974
100040766,-0.9002588841024886
100040786,
100040843,-0.8206778347823394
100040854,-0.8961784510741184
100040861,-0.9079561751105498
100040867,-0.7820793939611859
100040894,-0.7836318069554836
100040911,
100040937,0.0789499881798422
100040972,-0.9165694329763472
100041077,-0.8825305079162831
100041085,-0.9305549877425088
